Index,Alphabet,Link,ScrapeStatus
560,b,https://www.hindigeetmala.net/singer/bhoomi_trivedi.php,Done
562,b,https://www.hindigeetmala.net/singer/bob.php,Done
564,b,https://www.hindigeetmala.net/singer/bianca_gomes.php,Done
566,b,https://www.hindigeetmala.net/singer/badshaah.php,Done
568,b,https://www.hindigeetmala.net/singer/bombay_vikings.php,Done
570,b,https://www.hindigeetmala.net/singer/brujmala.php,Done
572,b,https://www.hindigeetmala.net/singer/balwant_singh.php,Done
574,b,https://www.hindigeetmala.net/singer/bhimsen_joshi.php,Done
576,b,https://www.hindigeetmala.net/singer/babla_mehta.php,Done
578,b,https://www.hindigeetmala.net/singer/bali_brahmbhat.php,Done
580,b,https://www.hindigeetmala.net/singer/bela_sawer.php,Done
582,b,https://www.hindigeetmala.net/singer/bande_hasan.php,Done
584,b,https://www.hindigeetmala.net/singer/bibbo.php,Done
586,b,https://www.hindigeetmala.net/singer/babbu_maan.php,Done
588,b,https://www.hindigeetmala.net/singer/bonnie_chakraborty.php,Done
590,b,https://www.hindigeetmala.net/singer/b_vasantha.php,Done
592,b,https://www.hindigeetmala.net/singer/behroz_chatterjee.php,Done
594,b,https://www.hindigeetmala.net/singer/bhushan.php,Done
596,b,https://www.hindigeetmala.net/singer/bapi.php,Done
598,b,https://www.hindigeetmala.net/singer/bela_mukherjee.php,Done
600,b,https://www.hindigeetmala.net/singer/bhola.php,Done
602,b,https://www.hindigeetmala.net/singer/biddu.php,Done
604,b,https://www.hindigeetmala.net/singer/bombay_jayashri.php,Done
606,b,https://www.hindigeetmala.net/singer/babul.php,Done
608,b,https://www.hindigeetmala.net/singer/badrinath_pawar.php,Done
610,b,https://www.hindigeetmala.net/singer/bhushan_mehta.php,Done
612,b,https://www.hindigeetmala.net/singer/binota_chakraborty.php,Done
614,b,https://www.hindigeetmala.net/singer/b_praak.php,Done
616,b,https://www.hindigeetmala.net/singer/balakram.php,Done
618,b,https://www.hindigeetmala.net/singer/bharat_vyas.php,Done
620,b,https://www.hindigeetmala.net/singer/bhushan_dua.php,Done
622,b,https://www.hindigeetmala.net/singer/bilal_saeed.php,Done
624,b,https://www.hindigeetmala.net/singer/b_n_bali.php,Done
626,b,https://www.hindigeetmala.net/singer/bela.php,Done
628,b,https://www.hindigeetmala.net/singer/bhavya_pandit.php,Done
630,b,https://www.hindigeetmala.net/singer/bina_khan.php,Done
632,b,https://www.hindigeetmala.net/singer/bohemia.php,Done
634,b,https://www.hindigeetmala.net/singer/band_of_doon.php,Done
636,b,https://www.hindigeetmala.net/singer/begam_para.php,Done
638,b,https://www.hindigeetmala.net/singer/birju_maharaj.php,Done
640,b,https://www.hindigeetmala.net/singer/boman_irani.php,Done
642,b,https://www.hindigeetmala.net/singer/brijmala.php,Done
644,b,https://www.hindigeetmala.net/singer/b._vasantha.php,Done
646,b,https://www.hindigeetmala.net/singer/babu_haabi.php,Done
648,b,https://www.hindigeetmala.net/singer/baby_munmi.php,Done
650,b,https://www.hindigeetmala.net/singer/baldev_singh.php,Done
652,b,https://www.hindigeetmala.net/singer/bandana_sharma.php,Done
654,b,https://www.hindigeetmala.net/singer/barbie_amod.php,Done
656,b,https://www.hindigeetmala.net/singer/bashir_sheikh.php,Done
658,b,https://www.hindigeetmala.net/singer/bhanu_pratap.php,Done
660,b,https://www.hindigeetmala.net/singer/bhanu_pratap_singh.php,Done
662,b,https://www.hindigeetmala.net/singer/bhanvari_devi.php,Done
664,b,https://www.hindigeetmala.net/singer/bhaven_dhanak.php,Done
666,b,https://www.hindigeetmala.net/singer/bhavin_dhanak.php,Done
668,b,https://www.hindigeetmala.net/singer/bindu_subramaniam.php,Done
670,b,https://www.hindigeetmala.net/singer/binota_bose.php,Done
672,b,https://www.hindigeetmala.net/singer/brij_bhushan.php,Done
674,b,https://www.hindigeetmala.net/singer/brijesh_kumar.php,Done
676,b,https://www.hindigeetmala.net/singer/brodha_v.php,Done
678,b,https://www.hindigeetmala.net/singer/b_lata.php,Done
680,b,https://www.hindigeetmala.net/singer/b_s_thakur.php,Done
682,b,https://www.hindigeetmala.net/singer/baby_alka.php,Done
684,b,https://www.hindigeetmala.net/singer/baby_tara.php,Done
686,b,https://www.hindigeetmala.net/singer/baby_vimal.php,Done
688,b,https://www.hindigeetmala.net/singer/badam_ali_khan.php,Done
690,b,https://www.hindigeetmala.net/singer/badri.php,Done
692,b,https://www.hindigeetmala.net/singer/badrinath_vyas.php,Done
694,b,https://www.hindigeetmala.net/singer/baiju_mangeshkar.php,Done
696,b,https://www.hindigeetmala.net/singer/bali_brahmabhatt.php,Done
698,b,https://www.hindigeetmala.net/singer/balraj_jagadeesh_kumar.php,Done
700,b,https://www.hindigeetmala.net/singer/banjyotsna.php,Done
